Geneid,EBY_1,EBY_2,EBY_3,EBY-U_1,EBY-GNSR_1,EBY-GNSR_2,EBY-GNHR_1,EBY-GNHR_2,EBY-GNHR_3,EBY-GNUR_1,EBY-GNUR_2,EBY-GNUR_3,JGI_annotation,KEGG_annotation,Metabolic_Summary
jgi|Sacce1|3209|YJL221C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alpha-glucosidase,"K01182 oligo-1,6-glucosidase [EC:3.2.1.10] | (RefSeq) IMA4, FSP2; oligo-1,6-glucosidase IMA4","This gene synthesizes oligo-1,6-glucosidase, an enzyme that hydrolyzes (1->6)-alpha-D-glucosidic linkages in oligosaccharides produced from starch and glycogen."
jgi|Sacce1|320|YBR073W,58.38,61.41,57.85,31.77,52.93,55.39,38.0,45.07,46.51,39.41,37.62,34.61,Adenosinetriphosphatase,"K10877 DNA repair and recombination protein RAD54B [EC:5.6.2.-] | (RefSeq) RDH54, TID1; DNA-dependent ATPase RDH54","The text describes human Rad54B as a double-stranded DNA-dependent ATPase involved in homologous recombination, and suggests it may be the human counterpart of the yeast protein Tid1/Rdh54, which interacts with Rad51 and Dmc1 during recombination."
jgi|Sacce1|3210|YJL220W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C3210%7CYJL220W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|3211|YJL219W,1.14,0.91,0.94,2.42,2.21,2.62,2.07,1.47,2.04,2.12,2.18,2.19,L-arabinose isomerase,"K08139 MFS transporter, SP family, sugar:H+ symporter | (RefSeq) HXT9; hexose transporter HXT9",No specific metabolic synthesis information found.
jgi|Sacce1|3212|YJL218W,10.99,10.87,10.48,10.75,12.47,15.21,13.86,13.32,13.74,29.59,31.92,31.72,Transferring groups other than amino-acyl groups,no KO assigned | (RefSeq) acetyltransferase,No specific metabolic synthesis information found.
jgi|Sacce1|3213|YJL217W,105.91,98.34,98.4,812.35,285.19,279.19,860.98,865.05,849.98,802.33,844.73,1140.98,,K09702 uncharacterized protein | (RefSeq) REE1; Ree1p,No specific metabolic synthesis information found.
jgi|Sacce1|3214|YJL216C,7.38,6.61,6.83,19.66,7.46,7.59,14.05,18.74,14.48,7.91,8.05,8.63,Alpha-glucosidase,"K01182 oligo-1,6-glucosidase [EC:3.2.1.10] | (RefSeq) IMA5; oligo-1,6-glucosidase IMA5","This gene synthesizes an oligo-1,6-glucosidase, an enzyme involved in the hydrolysis of (1->6)-alpha-D-glucosidic linkages in oligosaccharides derived from starch and glycogen, and participates in galactose, starch, and sucrose metabolism."
jgi|Sacce1|3215|YJL215C,9.15,7.1,7.33,2.73,8.36,6.72,1.63,1.46,2.55,4.02,2.71,4.38,,,"The text describes the JGI Metabolomics Program as focused on understanding the roles of small molecules (metabolites) in biological systems, integrating this data with genomics to study processes like nutrient cycling, plant-microbe interactions, and environmental responses, and identifying enzymatic transformations and metabolic pathways."
jgi|Sacce1|3216|YJL214W,2.16,2.2,2.68,23.03,2.89,2.58,12.73,19.75,14.81,4.9,5.06,5.53,L-arabinose isomerase,"K08139 MFS transporter, SP family, sugar:H+ symporter | (RefSeq) HXT8; hexose transporter HXT8",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://www.researchgate.net/publication/327152685_Supplementary_Material_2/data/5b7cbbb0299bf1d5a71b9b53/Data-Sheet-1.XLS?origin=scientificContributions)
jgi|Sacce1|3217|YJL213W,14.02,16.1,14.48,64.8,27.06,27.18,57.24,58.62,67.64,82.72,82.29,92.32,,no KO assigned | (RefSeq) uncharacterized protein,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C3217%7CYJL213W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|3218|YJL212C,19.86,22.58,22.76,26.4,1.59,1.16,52.54,51.43,47.82,27.17,33.25,19.15,,"no KO assigned | (RefSeq) OPT1, DUG4, GSH11, HGT1; oligopeptide transporter OPT1",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C3218%7CYJL212C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|3219|YJL211C,0.66,1.17,0.09,4.57,0.71,0.83,2.75,4.07,3.27,3.26,2.93,6.15,,,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 17
}
])"
jgi|Sacce1|321|YBR074W,36.92,41.73,38.75,18.06,33.46,34.93,17.07,16.86,15.75,26.85,31.09,27.43,,"no KO assigned | (RefSeq) PFF1, YBR075W; Pff1p",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C321%7CYBR074W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|3220|YJL210W,42.85,38.62,39.46,109.6,39.86,32.4,143.67,117.87,123.13,88.91,102.11,102.0,,"K06664 peroxin-2 | (RefSeq) PEX2, CRT1, PAS5; ubiquitin-protein ligase peroxin 2",No specific metabolic synthesis information found.
jgi|Sacce1|3221|YJL209W,29.99,30.86,34.84,10.27,18.43,19.42,7.16,7.09,8.48,17.0,20.23,18.79,,K17660 cytochrome b pre-mRNA-processing protein 1 | (RefSeq) CBP1; Cbp1p,No specific metabolic synthesis information found.
jgi|Sacce1|3222|YJL208C,95.56,97.55,106.0,35.01,66.52,63.55,19.15,16.2,22.46,45.14,48.62,46.68,Endoribonucleases active with either ribo- or deoxyribonucleic,"K01173 endonuclease G, mitochondrial | (RefSeq) NUC1; ribonuclease","The text describes Endonuclease G, a mitochondrial nuclease involved in mtDNA metabolism, repair of damaged mtDNA, and potentially in facilitating chromatin degradation during apoptosis."
jgi|Sacce1|3223|YJL207C,27.72,28.87,31.88,13.57,16.55,18.16,6.91,10.86,8.76,13.26,14.39,12.9,,K24814 HEAT repeat-containing protein 5 | (RefSeq) LAA1; Laa1p,No specific metabolic synthesis information found.
jgi|Sacce1|3224|YJL206C,8.96,9.68,10.77,30.73,10.1,10.04,26.17,28.1,34.17,20.21,18.6,24.17,,no KO assigned | (RefSeq) uncharacterized protein,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions."
jgi|Sacce1|3225|YJL205C,51.01,48.21,45.33,157.73,68.77,51.27,264.5,219.99,219.86,186.89,242.52,235.02,,"K27383 non-classical export protein 1 | (RefSeq) NCE101, NCE1, YJL205C-A, YJL206C-A; Nce101p",Skipped (No search results found)
jgi|Sacce1|3226|YJL204C,22.05,21.89,24.28,14.15,18.91,19.02,7.08,9.52,7.3,15.8,16.01,14.61,,K15071 recyclin-1 | (RefSeq) RCY1; Rcy1p,Skipped (No search results found)
jgi|Sacce1|3227|YJL203W,39.94,39.72,44.14,47.88,45.83,43.21,49.0,43.66,49.13,61.74,51.54,53.39,,"K12825 splicing factor 3A subunit 1 | (RefSeq) PRP21, SPP91; Prp21p",The gene 'jgi|Sacce1|3227|YJL203W' (SF3a120) encodes a mammalian splicing factor that functions early during pre-mRNA splicing and is homologous to the essential splicing factor PRP21p in yeast.
jgi|Sacce1|3228|YJL202C,0.78,0.5,0.33,0.0,0.0,0.45,0.0,0.17,0.28,0.17,0.0,0.3,,,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions."
jgi|Sacce1|3229|YJL201W,27.64,28.18,31.0,14.6,29.28,30.25,9.58,10.76,13.05,16.25,11.17,13.45,,no KO assigned | (RefSeq) ECM25; Ecm25p,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions."
jgi|Sacce1|322|YBR076W,2.87,2.54,3.45,3.08,8.81,9.53,2.17,2.0,2.08,2.48,2.87,4.17,,no KO assigned | (RefSeq) ECM8; Ecm8p,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 26
}
])"
jgi|Sacce1|3230|YJL200C,320.35,352.6,361.1,36.8,442.26,477.21,34.5,41.25,36.62,41.84,40.67,43.63,Aconitate hydratase,K17450 homoaconitase [EC:4.2.1.-] | (RefSeq) ACO2; aconitate hydratase ACO2,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 21
}
])"
jgi|Sacce1|3231|YJL199C,14.36,12.47,12.87,78.94,30.09,25.08,108.07,77.41,95.32,59.57,70.22,79.82,,no KO assigned | (RefSeq) MBB1; Mbb1p,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C3231%7CYJL199C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|3232|YJL198W,49.63,53.25,50.3,28.97,39.44,37.6,32.28,34.74,27.85,19.01,24.93,20.52,,K14430 phosphate transporter | (RefSeq) PHO90; SPX domain-containing inorganic phosphate transporter,"This gene, PHO90, functions as an inorganic phosphate transporter, enabling phosphate transmembrane transport and being involved in phosphate ion transport, polyphosphate metabolic process, and regulation of phosphate transmembrane transport."
jgi|Sacce1|3233|YJL197W,34.6,34.22,36.89,15.19,21.68,24.01,11.79,12.32,13.13,19.96,21.44,19.14,Ubiquitin thiolesterase,K11835 ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12] | (RefSeq) UBP12; putative ubiquitin-specific protease UBP12,"The gene 'jgi|Sacce1|3233|YJL197W' encodes a ubiquitin carboxyl-terminal hydrolase 4/11, which is a deubiquitinating enzyme involved in the ubiquitin system."
jgi|Sacce1|3234|YJL197C-A,0.35,0.25,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,No specific metabolic synthesis information found.
jgi|Sacce1|3235|YJL196C,109.86,105.7,106.74,32.02,74.73,79.44,22.89,25.38,27.45,47.58,49.78,41.09,,K10245 fatty acid elongase 2 [EC:2.3.1.199] | (RefSeq) ELO1; fatty acid elongase ELO1,"The gene 'jgi|Sacce1|3235|YJL196C' (ELO1, and its homologs ELO2 and ELO3) functions in fatty acid elongation and is required for sphingolipid formation, participating in pathways including fatty acid elongation, biosynthesis of unsaturated fatty acids, and overall lipid metabolism."
jgi|Sacce1|3236|YJL195C,0.14,0.2,0.11,0.28,0.0,0.22,0.39,0.5,0.48,0.09,0.28,0.45,,,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 46
}
])"
jgi|Sacce1|3237|YJL194W,18.05,18.64,18.73,2.38,3.96,3.07,1.91,2.0,2.04,3.09,3.8,4.09,,K02213 cell division control protein 6 | (RefSeq) CDC6; AAA family ATPase CDC6,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 42
}
])"
jgi|Sacce1|3238|YJL193W,30.57,29.72,33.18,6.39,16.68,17.26,4.27,3.91,4.16,7.43,6.78,9.3,,"K15283 solute carrier family 35, member E1 | (RefSeq) uncharacterized protein","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 37
}
])"
jgi|Sacce1|3239|YJL192C,144.66,140.23,128.08,57.15,137.64,142.55,42.1,50.47,48.94,78.96,89.13,87.52,,"no KO assigned | (RefSeq) SOP4, EMC7; Sop4p","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 34
}
])"
jgi|Sacce1|323|YBR076C-A,45.04,40.9,40.82,137.91,42.4,42.33,103.03,131.95,114.39,95.32,102.32,102.67,,,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 32
}
])"
jgi|Sacce1|3240|YJL191W,326.71,316.62,284.04,152.25,209.21,189.45,310.98,269.12,226.34,311.83,316.5,302.87,,"K02955 small subunit ribosomal protein S14e | (RefSeq) RPS14B, CRY2; ribosomal 40S subunit protein S14B","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 27
}
])"
jgi|Sacce1|3241|YJL190C,4253.95,3945.18,3821.27,117.53,2245.73,2190.93,110.18,148.86,85.71,474.97,556.78,561.36,,"K02957 small subunit ribosomal protein S15Ae | (RefSeq) RPS22A, RPS24; ribosomal 40S subunit protein S22A","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 24
}
])"
jgi|Sacce1|3242|YJL189W,3024.17,2568.54,2444.97,383.87,2555.47,1718.74,609.38,543.65,488.23,1211.64,1487.72,1570.39,,"K02924 large subunit ribosomal protein L39e | (RefSeq) RPL39, RPL46, SPB2; ribosomal 60S subunit protein L39","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 19
}
])"
jgi|Sacce1|3243|YJL188C,5.89,7.83,4.21,1.27,9.01,9.19,1.03,1.89,1.72,2.73,31.15,21.92,,,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 17
}
])"
jgi|Sacce1|3244|YJL187C,37.67,40.54,40.64,7.48,25.16,26.88,8.15,10.15,11.14,13.85,11.55,12.98,,"K03114 mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1] | (RefSeq) SWE1, WEE1; tyrosine protein kinase SWE1","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 13
}
])"
jgi|Sacce1|3245|YJL186W,66.39,69.42,64.61,53.58,61.84,58.26,80.81,79.59,65.53,74.18,83.59,77.44,,"K05536 alpha 1,2-mannosyltransferase [EC:2.4.1.-] | (RefSeq) MNN5; alpha-1,2-mannosyltransferase MNN5","The gene is involved in multiple metabolic pathways including carbohydrate metabolism (glycolysis, citrate cycle, pentose phosphate pathway, starch and sucrose metabolism), pyruvate metabolism, and energy metabolism (oxidative phosphorylation)."
jgi|Sacce1|3246|YJL185C,10.9,10.73,9.67,103.4,21.29,21.69,116.61,111.03,123.83,67.01,59.74,74.49,,K22258 autophagy-related protein 36 | (RefSeq) ATG36; Atg36p,The gene 'jgi|Sacce1|3246|YJL185C' (Atg36) encodes a pexophagy receptor that targets peroxisomes for degradation via autophagy.
jgi|Sacce1|3247|YJL184W,105.9,100.69,86.05,88.94,84.78,61.32,119.56,77.61,91.46,78.15,88.3,83.85,,"K15903 EKC/KEOPS complex subunit GON7 | (RefSeq) GON7, LDB6, PCC2; chromatin DNA-binding EKC/KEOPS complex subunit GON7","The text indicates that the KEOPS complex, including the yeast Gon7 and its human ortholog C14ORF142, is a tRNA modification complex involved in the biosynthesis of N6-threonylcarbamoyladenosine (t6A)."
jgi|Sacce1|3248|YJL183W,96.02,90.05,92.13,22.56,41.67,41.63,13.41,15.95,15.35,24.14,25.83,29.13,,"K05532 mannan polymerase II complex MNN11 subunit [EC:2.4.1.-] | (RefSeq) MNN11; alpha-1,6-mannosyltransferase","This gene is part of the mannan polymerase II complex and participates in protein N-glycosylation processing of mannoproteins, specifically catalyzing the addition of mannose residues to proteins."
jgi|Sacce1|3249|YJL182C,0.0,0.0,0.0,0.21,0.28,0.17,0.0,0.0,0.0,0.0,0.0,0.0,,,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions."
jgi|Sacce1|324|YBR077C,85.79,83.1,82.28,141.49,107.49,112.33,157.95,161.62,161.09,170.2,167.07,157.44,,"no KO assigned | (RefSeq) SLM4, EGO3, GSE1, NIR1; Slm4p",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C324%7CYBR077C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|3250|YJL181W,14.32,14.89,14.81,6.28,11.77,12.22,3.5,4.07,4.76,9.36,9.67,12.13,,no KO assigned | (RefSeq) RBH1; Rbh1p,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C3250%7CYJL181W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|3251|YJL180C,40.63,42.12,43.72,18.62,33.99,33.21,15.27,13.78,14.92,43.11,46.22,47.74,,K07556 ATP synthase mitochondrial F1 complex assembly factor 2 | (RefSeq) ATP12; ATP synthase complex assembly protein ATP12,No specific metabolic synthesis information found.
jgi|Sacce1|3252|YJL179W,160.0,137.8,136.52,37.52,110.27,91.75,33.18,31.82,31.63,74.57,81.6,76.54,,"K09548 prefoldin subunit 1 | (RefSeq) PFD1, GIM6; prefolding complex chaperone subunit","The gene 'jgi|Sacce1|3252|YJL179W' (Pfdn1) encodes a subunit of the prefoldin chaperone complex, which facilitates the folding of cytoskeletal proteins and is required for lymphocyte development and function."
jgi|Sacce1|3253|YJL178C,115.39,112.68,111.97,74.27,120.46,122.26,74.69,69.26,66.81,78.72,81.07,82.76,,"K21141 autophagy-related protein 27 | (RefSeq) ATG27, ETF1; Atg27p","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 18
}
])"
jgi|Sacce1|3254|YJL177W,1697.06,1604.13,1586.3,138.71,1018.68,1000.5,161.58,176.67,123.3,364.8,407.86,417.66,,K02880 large subunit ribosomal protein L17e | (RefSeq) RPL17B; ribosomal 60S subunit protein L17B,"This gene, RPL17, encodes a ribosomal protein that is a component of the 60S ribosomal subunit, which is essential for protein synthesis."
jgi|Sacce1|3255|YJL176C,38.92,39.37,41.96,25.22,31.53,33.79,20.09,21.16,23.21,28.21,26.96,27.68,Exo-alpha-sialidase,"K11772 SWI/SNF complex subunit SWI3 | (RefSeq) SWI3, HAF2, TYE2; Swi3p",No specific metabolic synthesis information found.
jgi|Sacce1|3256|YJL175W,0.24,0.2,0.22,0.26,0.26,0.31,0.09,0.11,0.09,0.12,0.25,0.51,,,"The text describes the JGI Metabolomics Program as focused on understanding the roles of small molecules (metabolites) in biological systems, integrating this data with genomics to study processes like nutrient cycling, plant-microbe interactions, and environmental responses, and identifying enzymatic transformations and metabolic pathways."
jgi|Sacce1|3257|YJL174W,277.08,281.76,288.93,311.67,274.14,298.17,278.67,306.73,291.24,254.45,248.29,253.09,,no KO assigned | (RefSeq) KRE9; Kre9p,"The text describes the JGI Metabolomics Program as focused on understanding the roles of metabolites in biological systems and linking them with genomic data to explore metabolic pathways related to nutrient cycling, plant-microbe interactions, and environmental responses."
jgi|Sacce1|3258|YJL173C,139.62,121.64,127.59,58.77,97.03,90.74,101.16,85.36,102.94,88.75,85.14,95.21,,"no KO assigned | (RefSeq) RFA3, RPA14, RPA3; Rfa3p","The text describes the JGI Metabolomics Program as focused on understanding the roles of small molecules (metabolites) in biological systems, integrating this data with genomics to explore processes like nutrient cycling, plant-microbe interactions, and environmental responses, and identifying enzymatic transformations and metabolic pathways."
jgi|Sacce1|3259|YJL172W,28.48,29.6,28.17,85.31,44.12,43.51,112.14,102.13,124.02,68.71,59.63,64.59,Gly-X carboxypeptidase,K01293 Gly-Xaa carboxypeptidase [EC:3.4.17.4] | (RefSeq) CPS1; Gly-Xaa carboxypeptidase,"This gene synthesizes a Gly-Xaa carboxypeptidase, an enzyme that releases a C-terminal amino acid from a peptide when glycine is the penultimate amino acid."
jgi|Sacce1|325|YBR078W,2105.81,2274.23,2163.54,264.36,1635.46,1614.51,179.67,247.74,200.04,336.71,367.62,386.94,Licheninase,no KO assigned | (RefSeq) ECM33; Ecm33p,No specific metabolic synthesis information found.
jgi|Sacce1|3260|YJL171C,136.71,143.93,143.02,230.55,250.38,240.93,223.38,274.99,234.29,202.76,215.13,210.54,,no KO assigned | (RefSeq) TOH1; Toh1p,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions, with a focus on areas like lignocellulose decomposition, CO2 fixation, and plant metabolite biosynthesis."
jgi|Sacce1|3261|YJL170C,11.4,9.21,10.38,11.54,48.2,43.14,15.01,12.41,13.42,8.04,7.64,9.67,,no KO assigned | (RefSeq) ASG7; Asg7p,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and biosystems for bioenergy and bioproduct applications."
